attendee_type_id,attendee_type_name,country_name,city_name,demora15min,nom_week_day,attendees
1991,Buyers,Jordan,ʿAmmān,0,Wed,6
37010,Student,Chile,La Florida,> 120,Wed,37
36749,Buyers,France,Aulnay-sous-Bois,0,Sat,20
42162,Regulators,Colombia,Bogotá,0,Fri,4
632,Student,Colombia,Medellín,0,Wed,36
40453,Student,Colombia,Medellín,60,Thu,1
42559,Student,Chile,Las Condes,60,Tue,5
40567,Student,Colombia,Medellín,0,Tue,4
37753,Regulators,Chile,Providencia,0,Wed,6
39461,Exhibitors,Chile,Las Condes,15,Tue,1
42327,Regulators,Colombia,Bogotá,0,Thu,4
2564,Student,Colombia,Bogotá,75,Tue,6
38189,Regulators,Colombia,Bogotá,0,Tue,8
40810,Sellers,Chile,Santiago,120,Thu,5
773,Student,Colombia,Medellín,0,Fri,1
2564,Student,Colombia,Bogotá,45,Tue,1
1090,Consultant,Spain,Madrid,0,Sat,7
37979,Consultant,Colombia,Bogotá,0,Fri,1
1046,Student,Colombia,Medellín,0,Thu,104
3469,Student,Colombia,Ríonegro,15,Fri,17
938,Asistant,Colombia,Medellín,0,Thu,4
37677,Student,Chile,La Florida,45,Thu,3
3023,Student,Colombia,Medellín,75,Fri,9
43098,Buyers,Colombia,Bogotá,0,Mon,16
113,Consultant,France,Paris,0,Thu,2
531,Exhibitors,Chile,La Florida,0,Wed,1
3022,Asistant,Colombia,Medellín,90,Fri,1
43443,Consultant,Colombia,Bogotá,0,Wed,5
4067,Buyers,Spain,Madrid,0,Tue,13
41229,Staff,Colombia,Bogotá,60,Thu,1
3603,Staff,Ecuador,Quito,90,Thu,2
37629,Student,France,Montpellier,> 120,Wed,4
41808,Visitors,Colombia,Bogotá,0,Tue,33
37682,Consultant,Colombia,Bogotá,30,Thu,2
37586,Student,France,Montpellier,> 120,Wed,81
39572,Buyers,Colombia,Medellín,30,Tue,11
35603,Regulators,Colombia,Bogotá,0,Tue,3
37831,Sponsors,Colombia,Medellín,0,Wed,2
39142,Consultant,Colombia,Bogotá,45,Fri,1
42868,Student,Colombia,Bogotá,0,Tue,1
3954,Sellers,France,Paris,0,Mon,3
2564,Buyers,Colombia,Bogotá,75,Tue,10
38512,Consultant,Colombia,Bogotá,0,Wed,2
40810,Exhibitors,Chile,Santiago,120,Thu,3
4199,Student,Colombia,Bogotá,0,Tue,1
4066,Visitors,Spain,Madrid,45,Tue,1
42559,Regulators,Chile,Las Condes,15,Tue,1
3444,Student,Colombia,Bogotá,15,Thu,4
37694,Buyers,Colombia,Bogotá,30,Tue,1
34070,Consultant,France,Toulouse,0,Mon,25
37979,Consultant,Colombia,Bogotá,30,Fri,3
37334,Student,Colombia,Bogotá,> 120,Wed,1
42590,Buyers,Chile,Las Condes,> 120,Tue,2
37469,Buyers,Colombia,Bogotá,0,Thu,1
39716,Buyers,Colombia,Bogotá,0,Thu,3
3485,Student,Colombia,Medellín,15,Thu,8
38592,Consultant,Colombia,Bogotá,0,Thu,5
43441,Consultant,Colombia,Bogotá,0,Wed,1
39747,Exhibitors,Chile,Vitacura,75,Fri,4
38497,Buyers,Colombia,Bogotá,45,Wed,2
41421,Student,Chile,Providencia,> 120,Wed,6
41143,Visitors,Colombia,Bogotá,90,Fri,2
37753,Student,Chile,Providencia,0,Wed,47
2565,Asistant,Colombia,Medellín,75,Fri,3
40592,Consultant,France,Roubaix,0,Fri,9
43366,Student,Colombia,Medellín,15,Wed,2
42495,Exhibitors,Colombia,Bogotá,0,Thu,3
1054,Student,Colombia,Medellín,0,Tue,3
1170,Exhibitors,Colombia,Cartagena,0,Thu,1
3632,Visitors,Spain,Barcelona,0,Fri,7
38582,Buyers,Colombia,Bogotá,0,Thu,7
39747,Exhibitors,Chile,Vitacura,60,Fri,3
4066,Visitors,Spain,Madrid,0,Tue,11
42092,Regulators,Colombia,Bogotá,15,Tue,3
35564,Regulators,Colombia,Bogotá,15,Wed,1
2858,Student,Colombia,Medellín,45,Mon,1
40286,Buyers,Colombia,Bogotá,0,Wed,22
1914,Regulators,Colombia,Bogotá,> 120,Wed,1
37053,Student,Colombia,Bogotá,45,Tue,2
37691,Consultant,Colombia,Bogotá,0,Tue,3
2515,Staff,Colombia,Bogotá,> 120,Thu,2
38652,Student,Colombia,Bogotá,15,Fri,1
35562,Regulators,Colombia,Bogotá,30,Wed,1
37196,Sellers,France,Montpellier,0,Wed,17
41054,Sellers,Colombia,Bogotá,30,Tue,1
35958,Sellers,Chile,La Florida,120,Thu,1
41879,Asistant,Colombia,Medellín,0,Mon,13
2438,Student,Colombia,Medellín,> 120,Thu,6
2480,Buyers,Colombia,Medellín,0,Wed,49
40819,Student,Colombia,Bogotá,0,Tue,8
38888,Buyers,Colombia,Bogotá,0,Tue,1
39656,Student,France,Paris,0,Fri,5
42590,Exhibitors,Chile,Las Condes,45,Tue,3
34044,Student,Colombia,Medellín,30,Mon,11
41000,Buyers,Colombia,Bogotá,0,Tue,5
39021,Regulators,Colombia,Bogotá,45,Wed,1
40810,Student,Chile,Santiago,60,Thu,4
41422,Student,Chile,Providencia,15,Wed,1
37053,Student,Colombia,Bogotá,30,Tue,2
40738,Buyers,Colombia,Bogotá,15,Tue,1
38192,Regulators,Colombia,Bogotá,0,Tue,3
1915,Student,Colombia,Barranquilla,15,Thu,14
42067,Regulators,Colombia,Bogotá,15,Thu,7
843,Regulators,Colombia,Medellín,0,Fri,6
42034,Regulators,Colombia,Bogotá,15,Thu,3
39827,Student,Colombia,Bogotá,15,Fri,5
42594,Sponsors,Chile,Las Condes,0,Tue,1
38492,Visitors,France,Toulouse,0,Tue,6
35970,Student,Colombia,Bogotá,0,Wed,2
41811,Regulators,Colombia,Bogotá,15,Tue,1
37752,Buyers,Colombia,Medellín,> 120,Fri,2
2682,Student,Colombia,Medellín,0,Tue,21
39458,Consultant,United States,Pasadena,> 120,Fri,3
42492,Sponsors,Colombia,Bogotá,30,Thu,4
205,Student,Colombia,Medellín,0,Tue,14
39905,Buyers,Colombia,Bogotá,0,Thu,2
42358,Consultant,Colombia,Bogotá,0,Thu,4
38652,Buyers,Colombia,Bogotá,15,Fri,1
38795,Student,Colombia,Bogotá,60,Tue,5
38977,Exhibitors,Chile,Las Condes,0,Fri,66
41879,Buyers,Colombia,Medellín,15,Mon,13
41375,Exhibitors,Chile,Las Condes,0,Tue,2
42994,Buyers,Colombia,Bogotá,0,Wed,5
42358,Consultant,Colombia,Bogotá,15,Thu,2
41658,Sponsors,Colombia,Bogotá,0,Fri,5
41484,Exhibitors,Chile,Las Condes,60,Wed,1
42426,Consultant,Colombia,Bogotá,0,Mon,9
3699,Student,Colombia,Medellín,105,Wed,1
40182,Consultant,United States,Pasadena,105,Fri,1
40619,Staff,Chile,Santiago,0,Wed,17
38497,Consultant,Colombia,Bogotá,0,Wed,6
39199,Consultant,Colombia,Bogotá,0,Sat,1
40483,Consultant,Colombia,Bogotá,30,Thu,1
39458,Student,United States,Pasadena,> 120,Fri,76
38748,Student,Colombia,Bogotá,30,Thu,1
43156,Buyers,Colombia,Bogotá,0,Sat,1
37677,Buyers,Chile,La Florida,60,Thu,1
2323,Student,Colombia,Medellín,0,Tue,71
39369,Buyers,Colombia,Bogotá,120,Wed,1
3603,Student,Ecuador,Quito,105,Thu,1
40903,Visitors,Colombia,Bogotá,0,Thu,3
35602,Regulators,Colombia,Bogotá,15,Tue,3
39335,Buyers,Colombia,Bogotá,0,Fri,106
39418,Sponsors,Colombia,Barranquilla,90,Wed,1
1915,Student,Colombia,Barranquilla,0,Thu,31
39619,Buyers,Colombia,Bogotá,30,Thu,1
40617,Student,Chile,Santiago,0,Wed,2
42204,Regulators,Colombia,Bogotá,0,Mon,1
359,Student,France,Paris,0,Wed,35
40106,Buyers,Colombia,Bogotá,30,Fri,1
34068,Buyers,France,Paris,0,Wed,6
40810,Student,Chile,Santiago,0,Thu,21
40909,Sellers,Colombia,Bogotá,0,Tue,3
40273,Buyers,Colombia,Bogotá,0,Thu,7
42590,Staff,Chile,Las Condes,0,Tue,11
42380,Buyers,Colombia,Bogotá,30,Sat,1
36166,Student,Colombia,Bogotá,45,Wed,2
944,Student,Colombia,Medellín,0,Thu,312
2608,Regulators,Colombia,Bogotá,60,Tue,8
3603,Student,Ecuador,Quito,30,Thu,15
37681,Buyers,Colombia,Bogotá,30,Thu,2
35839,Regulators,Colombia,Bogotá,0,Thu,6
35958,Sellers,Chile,La Florida,0,Thu,67
2480,Buyers,Colombia,Medellín,15,Wed,7
40477,Buyers,Colombia,Bogotá,15,Tue,6
41587,Student,Colombia,Bogotá,0,Tue,3
36992,Student,Colombia,Bogotá,75,Sat,2
36136,Buyers,Colombia,Medellín,15,Wed,2
38795,Student,Colombia,Bogotá,15,Tue,5
35958,Sellers,Chile,La Florida,45,Thu,1
43090,Staff,Chile,Vitacura,0,Tue,104
38748,Student,Colombia,Bogotá,75,Thu,1
4199,Asistant,Colombia,Bogotá,> 120,Tue,33
40869,Consultant,Colombia,Bogotá,0,Thu,4
39855,Buyers,Colombia,Bogotá,45,Thu,1
3931,Staff,Spain,Barcelona,0,Mon,7
38758,Student,Colombia,Medellín,30,Thu,2
41328,Staff,Colombia,Bogotá,0,Wed,7
920,Student,Colombia,Medellín,0,Fri,4
37678,Consultant,Colombia,Bogotá,0,Thu,1
